LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000042,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.2692307692307692,0.11538461538461539,26
E01000043,0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.2222222222222222,18
E01000044,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.19047619047619047,0.38095238095238093,21
E01000045,0.04,0.06666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.02666666666666667,0.02666666666666667,0.52,0.12,0.17333333333333334,75
E01000046,0.25,0.0625,0.0,0.0625,0.0,0.0,0.0,0.1875,0.1875,0.25,16
E01000048,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,3
E01000049,0.11363636363636363,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.0,0.0,0.045454545454545456,0.5227272727272727,0.09090909090909091,0.06818181818181818,44
E01000050,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.25925925925925924,27
E01000051,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,4
E01000052,0.0,0.03333333333333333,0.1,0.03333333333333333,0.0,0.03333333333333333,0.1,0.03333333333333333,0.3,0.36666666666666664,30
E01000053,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.25,0.5,24
E01000054,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,18
E01000055,0.14814814814814814,0.18518518518518517,0.0,0.0,0.0,0.037037037037037035,0.0,0.14814814814814814,0.037037037037037035,0.4444444444444444,27
E01000056,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.29411764705882354,0.35294117647058826,34
E01000057,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.3333333333333333,18
E01000058,0.08,0.24,0.04,0.0,0.0,0.04,0.0,0.04,0.2,0.36,25
E01000059,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,6
E01000060,0.024390243902439025,0.07317073170731707,0.0,0.04878048780487805,0.0,0.07317073170731707,0.12195121951219512,0.3902439024390244,0.07317073170731707,0.1951219512195122,41
